macrozheng/mall,f2b823322e630794f61f3206430e12f01a359740,8.677082495
google/guava,a2bbcc3bc2b4f94666d99a98a31445b8fbd1e152,586.716393708
eugenp/tutorials,18464bf799a6242582e7175f961a37d1463ce855,1.222927782
apolloconfig/apollo,5ad5b410f0ff43111855d7bd76e047d08ab477b4,102.715343873
alibaba/druid,98f6ea65ae08128829dadc788147e509b7876d82,117.432839381
alibaba/fastjson,869746101f6dd73b70d8a9c2b6dc59de4352519e,56.054761395
xkcoding/spring-boot-demo,f10dc0a45be84e89acb48f6cf259620f52838b6e,1636.097184895
alibaba/easyexcel,f8fd5f0427f04574c6d672615e8256c603e0b172,50.220140445
alibaba/canal,b54bea5e3337c9597c427a53071d214ff04628d1,35.199882794
seata/seata,6f877fafd0bc4ad2f4840e7940c93493f9aa45d5,213.268947469
xuxueli/xxl-job,9fe7aaa12e69ddb3cf99ee5681adbc32aa65ad54,2.230816579
jenkinsci/jenkins,cc30606c2706b4218acdfd5704fec37278a2cf25,1676.071154315
alibaba/Sentinel,0a34fc4d11392f0587e7ba5bf2626f902b23c750,183.534175639
elunez/eladmin,08f6c582112cdeaa785d79f04bbc90d4c0ca9b62,18.760593483
linlinjava/litemall,7d79dfc68c36bd31e30c72acfdfd366f932bde0f,4.146042353
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,4922c077c07a3744ae67ee8a932786f15bf57411,3.003799176
openzipkin/zipkin,745fbad95878ed56588c8fb562ce0b2f9da17b4f,53.887229999
apache/shardingsphere,011e12e18ed0c02b27ef23f7c46f0a99209446bb,443.997812411
JeffLi1993/springboot-learning-example,87692cb86fade44b2a368bf625abeaecb56709a6,25.994812035
eclipse-vertx/vert.x,3c494da0a4a854e52ee64f3571dc054d3d1d8ae3,681.262940770
YunaiV/SpringBoot-Labs,85c7322b9d1a225a4ba095f28a2b7f4b8f257da5,1.980464533
